ordinary_brm	finite_density_gradient	dead_source	stanblocks_plate	stanc_accepted	unverifiable	adapted_but_defensible	brm_kernel	mismatch	confirmed	source	rows	ready_translation
6	0	0	0	0	0	0	0	4	2	action_models	6	0
100	43	0	0	43	13	2	0	1	84	bambi	100	43
0	0	0	0	0	0	0	4	0	4	bmm	4	0
20	1	0	5	1	1	1	0	4	19	brms	25	1
14	2	0	0	2	7	0	0	0	7	burkner_papers	14	2
2	0	0	0	0	0	0	0	0	2	epidist	2	0
0	0	0	6	0	0	0	0	4	2	epinowcast	6	0
0	0	0	6	0	2	0	0	0	4	flocker	6	0
6	4	0	0	4	3	0	0	0	3	glm_jl	6	4
7	0	7	2	0	0	0	0	0	2	glmmtmb	9	0
2	1	0	10	1	1	2	0	7	2	inla	12	1
41	10	0	0	10	41	0	0	0	0	kruschke	41	12
8	5	0	0	5	8	0	0	0	0	lme4	8	5
57	13	3	1	13	55	0	0	0	0	mcelreath	58	16
4	0	7	3	0	0	0	0	0	0	mcmcglmm	7	0
7	6	0	0	6	0	3	0	1	3	mixed_models_jl	7	6
0	0	0	6	0	0	0	0	2	4	mvgam	6	0
22	15	0	0	15	2	2	0	2	16	rstanarm	22	15
20	6	0	0	6	20	0	0	0	0	vasishth	20	6
