catalog_source	deployed_rows	confirmed	adapted-but-defensible	mismatch	unverifiable	dead-source	model_http_rows	distinct_model_http_urls	data_only_model_citations	synthetic_or_uncited
action_models	6	2	0	4	0	0	6	2	0	0
bambi	100	83	4	0	13	0	100	36	0	0
bmm	4	4	0	0	0	0	4	3	0	0
brms	25	19	5	0	1	0	25	7	0	0
burkner_papers	14	7	0	0	7	0	14	2	0	0
epidist	2	2	0	0	0	0	2	1	0	0
epinowcast	6	0	6	0	0	0	6	4	0	0
flocker	6	0	4	0	2	0	6	1	0	0
glm_jl	6	3	0	0	3	0	6	2	0	0
glmmtmb	9	2	0	0	0	7	9	2	0	0
inla	12	2	10	0	0	0	12	6	0	0
kruschke	41	0	0	0	41	0	34	19	34	7
lme4	8	0	0	0	8	0	8	3	0	0
mcelreath	58	0	0	0	55	3	50	17	50	8
mcmcglmm	7	0	0	0	0	7	7	2	0	0
mixed_models_jl	7	3	4	0	0	0	7	1	0	0
mvgam	6	1	5	0	0	0	6	5	0	0
rstanarm	22	14	6	0	2	0	22	11	0	0
vasishth	20	0	0	0	20	0	20	1	0	0
